name                               license period  license type  installed version  author
----                               --------------  ------------  -----------------  ------
@emotion/css                       perpetual       MIT           11.10.5            Kye Hohenberger
@juggle/resize-observer            perpetual       Apache-2.0    3.3.1              Juggle
@types/d3                          perpetual       MIT           7.4.0              n/a
@types/d3-collection               perpetual       MIT           1.0.10             n/a
@types/d3-sankey                   perpetual       MIT           0.11.2             n/a
@types/dagre                       perpetual       MIT           0.7.50             n/a
@types/geojson                     perpetual       MIT           7946.0.8           n/a
@types/leaflet                     perpetual       MIT           1.7.6              n/a
@types/supercluster                perpetual       MIT           5.0.2              n/a
@types/three                       perpetual       MIT           0.135.0            n/a
@types/throttle-debounce           perpetual       MIT           5.0.0              n/a
@types/topojson                    perpetual       MIT           3.2.3              n/a
@types/topojson-client             perpetual       MIT           3.1.0              n/a
@types/topojson-specification      perpetual       MIT           1.0.2              n/a
@unovis/dagre-layout               perpetual       MIT           0.8.8-2            Nikita Rokotyan (nikita@f5.com)
@unovis/graphlibrary               perpetual       MIT           2.2.0-2            Nikita Rokotyan (nikita@f5.com)
d3                                 perpetual       ISC           7.2.1              Mike Bostock https://bost.ocks.org/mike
d3-collection                      perpetual       BSD-3-Clause  1.0.7              Mike Bostock http://bost.ocks.org/mike
d3-geo-projection                  perpetual       ISC           4.0.0              Mike Bostock https://bost.ocks.org/mike
d3-interpolate-path                perpetual       BSD-3-Clause  2.2.3              Peter Beshai <peter.beshai@gmail.com> (http://github.com/pbeshai)
d3-sankey                          perpetual       BSD-3-Clause  0.12.3             Mike Bostock https://bost.ocks.org/mike/
elkjs                              perpetual       EPL-2.0       0.8.2              Ulf Rüegg uruurumail@gmail.com
geojson                            perpetual       MIT           0.5.0              Casey Cesari
leaflet                            perpetual       BSD-2-Clause  1.7.1              n/a
maplibre-gl                        perpetual       BSD-3-Clause  2.1.9              n/a
striptags                          perpetual       MIT           3.2.0              Eric Norris (https://github.com/ericnorris)
supercluster                       perpetual       ISC           7.1.5              Vladimir Agafonkin
three                              perpetual       MIT           0.135.0            mrdoob
throttle-debounce                  perpetual       MIT           5.0.0              Ivan Nikolić <niksy5@gmail.com> (http://ivannikolic.com)
to-px                              perpetual       MIT           1.1.0              Mikola Lysenko
topojson-client                    perpetual       ISC           3.1.0              Mike Bostock https://bost.ocks.org/mike
tslib                              perpetual       0BSD          2.4.1              Microsoft Corp.
@rollup/plugin-json                perpetual       MIT           4.1.0              rollup
@types/to-px                       perpetual       MIT           1.1.2              n/a
@zerollup/ts-transform-paths       perpetual       MIT           1.7.18             Stefan Zerkalica zerkalica@gmail.com
rimraf                             perpetual       ISC           3.0.2              Isaac Z. Schlueter <i@izs.me> (http://blog.izs.me/)
rollup                             perpetual       MIT           2.79.2             Rich Harris
rollup-plugin-commonjs             perpetual       MIT           10.1.0             Rich Harris
rollup-plugin-node-resolve         perpetual       MIT           5.2.0              Rich Harris <richard.a.harris@gmail.com>
rollup-plugin-postcss              perpetual       MIT           4.0.2              EGOIST <0x142857@gmail.com>
rollup-plugin-rename-node-modules  perpetual       MIT           1.3.1              Lazyuki
rollup-plugin-terser               perpetual       MIT           7.0.2              Bogdan Chadkin <trysound@yandex.ru>
rollup-plugin-typescript2          perpetual       MIT           0.31.2             @ezolenko
rollup-plugin-visualizer           perpetual       MIT           4.2.2              Denis Bardadym <bardadymchik@gmail.com>
